id,name,release_date,developer,genre,original_price
65,Realm Royale,2018-06-05,Heroic Leap Games,"Action,Free to Play,Early Access",Free To Play
66,Sid Meier’s Civilization VI Gold Edition,,Firaxis Games,Strategy,
67,Gang Beasts,2017-12-12,Boneloaf,"Action,Adventure,Casual,Indie",$19.99
68,Age of Empires Legacy Bundle,,Ensemble Studios,"Simulation,Strategy",
69,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)",Strategy,$24.99
70,Tales of Vesperia: Definitive Edition,2019-01-10,"QLOC,BANDAI NAMCO Studios Inc.",RPG,$49.99
71,FINAL FANTASY X/X-2 HD Remaster,2016-05-12,Square Enix,RPG,$29.99
72,Return of the Obra Dinn,2018-10-18,Lucas Pope,"Adventure,Indie",$19.99
73,Castle Crashers®,2012-09-26,The Behemoth,"Action,Adventure,Casual,Indie,RPG",$14.99
74,FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION,,Square Enix,RPG,
75,Call of Duty®: WWII,2017-11-02,"Sledgehammer Games,Raven Software",Action,1.020
76,MudRunner,2017-10-30,Saber Interactive,Simulation,$24.99
77,Keep Talking and Nobody Explodes,2015-10-08,Steel Crate Games,Indie,$76.95
78,SPORE™,2008-12-19,Maxis™,Simulation,$19.99
79,Contra Anniversary Collection,2019-06-11,Konami Digital Entertainment,Action,$19.99
80,Fishing Planet,2015-08-11,Fishing Planet LLC,"Free to Play,Massively Multiplayer,Simulation,Sports",$19.99
81,Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,,Rockstar North,"Action,Adventure",
82,Just Cause™ 3,2015-11-30,Avalanche Studios,"Action,Adventure",$19.99
83,BioShock Infinite,2013-03-25,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",Action,$29.99
84,Men of War: Assault Squad 2,2014-05-15,Digitalmindsoft,"Action,Simulation,Strategy",$84.97
85,Dungeons & Dragons Online®,2012-06-25,"Standing Stone Games, LLC","Action,Adventure,Free to Play,Massively Multiplayer,RPG",Play for Free!
86,NecroDancer ULTIMATE PACK,,Brace Yourself Games,"Action,Indie,RPG",$58.89
87,JUMP FORCE,2019-02-14,"Spike Chunsoft Co., Ltd.",Action,$59.99
88,Desert Skies,2019-05-30,White_Rabbit_Games,"Action,Adventure,Indie,Early Access",$19.99
89,Ring of Elysium,2018-09-19,Aurora Studio,"Action,Free to Play,Massively Multiplayer,Early Access",Free To Play
90,Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女,2019-06-20,Artisan Studios,"Action,Adventure,RPG",$39.99
91,METAL GEAR SOLID V: THE PHANTOM PAIN,2015-09-01,Konami Digital Entertainment,"Action,Adventure",$19.99
92,TEKKEN 7,2017-06-01,BANDAI NAMCO Studios Inc.,"Action,Sports",$39.99
93,Golf It!,2017-02-17,Perfuse Entertainment,"Casual,Indie,Simulation,Sports,Early Access",$8.99
94,Shadow Tactics: Blades of the Shogun,2016-12-06,Mimimi Productions,"Indie,Strategy",$39.99
95,Heroes & Generals,2016-10-18,RETO MOTO,"Action,Free to Play,Indie,Massively Multiplayer,Strategy",Free to Play
96,Ultimate Doom,1995-04-30,id Software,Action,$14.99
97,GORN,2017-07-10,Free Lives,"Action,Indie,Early Access",$19.99
98,DRAGON BALL FighterZ,2018-01-26,Arc System Works,Action,$59.99
99,Fantasy Grounds,2014-05-09,"SmiteWorks USA, LLC","Indie,RPG,Strategy",$7.99
